,brand,category,cost,year,debt_ratio,profit,fairness,growth,stability
933,델리커리(DELHICURRY),기타 외식,13665.0,8,25908,1,3,3,5
934,단골손님,주점,1300.0,4,104,5,3,3,3
935,포차끝판왕,기타 외식,16525.0,5,186,4,3,4,4
936,아리랑순대국앤감자탕,기타 외식,7985.0,13,273,4,3,4,4
937,테리야끼,일식,30000.0,24,-578,1,3,5,1
938,남도복국,한식,10422.0,5,385,4,3,5,5
939,다기야,기타 외식,11240.0,11,87,3,3,2,3
940,카페칸타타,커피,6678.0,47,77,2,3,3,3
941,접시꽃보쌈,한식,15353.0,10,-311,1,3,1,1
942,타코비,기타 외식,4540.0,5,371,1,3,2,5
943,와우곱창,한식,5920.0,5,469,4,3,5,5
944,치킨89(치킨팔구),치킨,4065.0,8,152,3,3,4,4
945,킹스꼬마김밥,분식,3792.0,4,36,5,3,5,2
946,닭코치,기타 외식,9330.0,9,279,3,3,2,4
947,피슈,중식,8570.0,4,62,5,3,5,3
948,치킨삼파전,치킨,2862.0,18,286,4,3,2,4
949,올바른꼬치,주점,4510.0,12,39,5,3,1,2
950,신만용신가네매운떡볶이,분식,7315.0,10,5,5,3,3,2
951,백종원의원조쌈밥집,한식,11712.0,29,78,4,3,4,3
952,소야소,한식,13850.0,12,-162,1,3,5,1
953,대독장,한식,11110.0,8,-146,1,3,2,1
954,멘무샤,기타 외식,10390.0,20,90,2,3,1,3
955,도토리편백집,한식,16050.0,6,-242,1,3,4,1
956,오리명가고향정,기타 외식,7330.0,13,9,5,3,1,2
957,황장군,한식,23180.0,13,126,4,3,3,3
958,치킨89(치킨팔구),치킨,4065.0,8,152,3,3,4,4
959,피치버'S,패스트푸드,3820.0,5,84,5,3,4,3
960,피슈,중식,8570.0,4,62,5,3,5,3
961,미스터오징어,한식,9850.0,6,35,2,3,2,2
962,핫족,한식,2630.0,21,52,5,3,5,2
963,탐라포차,주점,20080.0,8,280,4,3,3,4
964,카페칸타타,커피,6678.0,47,77,2,3,3,3
965,접시꽃보쌈,한식,15353.0,10,-311,1,3,1,1
966,화통삼,한식,9045.0,11,133,3,3,4,3
967,테리야끼,일식,30000.0,24,-578,1,3,5,1
968,더베이크,제과제빵,10340.0,14,-180,1,3,2,1
969,올바른꼬치,주점,4510.0,12,39,5,3,1,2
970,백곱식당,한식,7065.0,4,38,5,3,5,2
971,닭코치,기타 외식,9330.0,9,279,3,3,2,4
972,아리랑순대국앤감자탕,기타 외식,7985.0,13,273,4,3,4,4
973,피자2001,피자,4970.0,10,-891,2,3,1,1
974,개념떡볶이,분식,4082.0,9,263,3,3,3,4
975,다기야,기타 외식,11240.0,11,87,3,3,2,3
976,강창구찹쌀진순대,기타 외식,9940.0,10,-168,2,3,5,1
977,타코비,기타 외식,4540.0,5,371,1,3,2,5
978,밥스토랑,기타 외식,450.0,5,59,4,3,3,3
979,스타곱스(STAR,한식,5920.0,4,48,5,3,5,2
980,고씨네,일식,8660.0,8,-220,1,3,5,1
981,옛골토성,한식,37630.0,17,839,2,3,2,5
982,닐리,서양식,10560.0,14,196,3,3,3,4
983,얌이밀,기타 외식,6680.0,13,92,3,3,1,3
984,해초과메기,기타 외식,5513.0,6,10720,4,3,4,5
985,더블유,커피,6770.0,13,-262,1,3,4,1
986,왕순이,분식,4760.0,11,-150,2,3,4,1
987,동춘돌곱창,한식,6715.0,8,-1539,2,3,5,1
988,고돼지,기타 외식,4060.0,5,74,5,3,4,3
989,링코(RINKO),주점,51100.0,7,1063,1,3,1,5
990,호아빈,기타 외국식,13315.0,20,90,2,3,1,3
991,삼칠포차,주점,9075.0,7,15,4,3,1,2
992,달봉감자,주점,5230.0,10,3798,1,3,1,5
993,월남쌈김상사,기타 외식,14895.0,14,29,4,3,2,2
994,JAMAE,분식,4840.0,5,-213,1,3,4,1
995,케이엠엘리갤러리카페,커피,10450.0,8,55,5,3,5,3
996,빈스킹토스트,제과제빵,5555.0,5,32,4,3,2,2
997,담신,한식,1652.0,8,505,3,3,4,5
998,밀회관,주점,7673.0,7,19,2,3,2,2
999,꼬꾸마시,기타 외식,4334.0,19,17,2,3,1,2
1000,링코(RINKO),주점,51100.0,7,1063,1,3,1,5
1001,그리다꿈,커피,7890.0,9,981,4,3,5,5
1002,고씨네,일식,8660.0,8,-220,1,3,5,1
1003,JAMAE,분식,4840.0,5,-213,1,3,4,1
1004,오짱,패스트푸드,5097.0,11,899,4,3,4,5
1005,해초과메기,기타 외식,5513.0,6,10720,4,3,4,5
1006,홍익스테이크,기타 외식,3410.0,4,69,5,3,5,3
1007,세광교대이층집,기타 외식,17100.0,7,117,4,3,4,3
1008,땡잡았다,주점,12961.0,10,3523,3,3,5,5
1009,옛골토성,한식,37630.0,17,839,2,3,2,5
1010,새벽길,분식,2596.0,20,0,3,3,3,1
1011,삼칠포차,주점,9075.0,7,15,4,3,1,2
1012,빈스킹토스트,제과제빵,5555.0,5,32,4,3,2,2
1013,닐리,서양식,10560.0,14,196,3,3,3,4
1014,케이엠엘리갤러리카페,커피,10450.0,8,55,5,3,5,3
1015,이태리면가게,서양식,3300.0,4,424,3,3,5,5
1016,쫄면당,분식,1080.0,7,459,4,3,5,5
1017,야무야무,주점,10194.0,11,-178,1,3,2,1
1018,베이글카페,제과제빵,8230.0,8,-192,2,3,4,1
1019,오정은A김밥,분식,9471.0,9,-371,3,3,2,1
1020,카페플로린,기타 외식,9870.0,13,88,3,3,2,3
1021,김봉남포장마차,주점,7295.0,12,-284,1,3,5,1
1022,안심치킨,치킨,10695.0,15,1277,2,3,3,5
1023,모모야,기타 외식,7240.0,8,129,1,3,3,3
1024,아이러브피자&치킨,치킨,5500.0,8,276,3,3,3,4
1025,MH백년수갈비,기타 외식,10950.0,9,130,4,3,1,3
1026,명불허전,기타 외식,5623.0,8,63,5,3,0,3
1027,햇살다이어트,치킨,23100.0,18,52,2,3,1,2
1028,코리안덕,기타 외식,4774.0,13,3,5,3,1,2
1029,고구마얌,제과제빵,10035.0,10,161,2,3,5,4
1030,온센,일식,8770.0,4,962,4,3,5,5
1031,촌칭구짬뽕,중식,7265.0,9,444,3,3,1,5
1032,행컵,분식,6050.0,8,405,4,3,3,5
1033,청양일초,한식,10898.0,5,28,5,3,3,2
1034,허대구,치킨,16018.0,12,192,3,3,1,4
1035,디델리,분식,5095.0,19,-360,1,3,2,1
1036,더앨리(THE,음료 (커피 외),11335.0,5,101,2,3,1,3
1037,쫄탁,치킨,3655.0,18,-430,3,3,2,1
1038,삼송빵집,제과제빵,15140.0,8,327,3,3,4,4
1039,저스트텐동,일식,11305.0,3,-377,1,3,0,1
1040,리코파파(RICCO,서양식,27118.0,7,101,5,3,0,3
1041,123막창,한식,9350.0,4,13,3,3,3,2
1042,일공공샤브,기타 외국식,18540.0,4,1090,2,3,5,5
1043,만족오향족발,한식,20595.0,13,2214,3,3,1,5
1044,SSOJA(쏘자),패스트푸드,6120.0,5,78,5,3,5,3
1045,맛나슈퍼,기타 외식,4070.0,9,89,4,3,4,3
1046,케리홈치킨,치킨,3085.0,24,0,4,3,3,1
1047,영칼로리,기타 외국식,2728.0,5,355,3,3,4,5
1048,푸드모바일,한식,3960.0,4,-776,2,3,0,1
1049,집으로돼지,한식,3435.0,8,-635,2,3,3,1
1050,햇살다이어트,치킨,23100.0,18,52,2,3,1,2
1051,일공공샤브,기타 외국식,18540.0,4,1090,2,3,5,5
1052,SSOJA(쏘자),패스트푸드,6120.0,5,78,5,3,5,3
1053,궁,기타 외식,9526.0,3,-511,1,3,0,1
1054,회장님댁,주점,13447.0,7,1288,4,3,5,5
1055,카페리빈,커피,7925.0,30,1945,2,3,2,5
1056,미스터도넛,제과제빵,14912.0,9,-476,1,3,5,1
1057,핵스테이크,기타 외국식,6350.0,7,196,3,3,2,4
1058,세븐치킨,치킨,3685.0,4,0,5,3,5,2
1059,소노야,일식,7155.0,34,93,2,3,2,3
1060,궁채,한식,20540.0,4,329,4,3,0,4
1061,삼대족발,한식,9936.0,3,365,3,3,0,5
1062,치킨주막,치킨,4950.0,11,111,3,3,2,3
1063,94번가,치킨,10945.0,9,251,2,3,1,4
1064,밀숲,기타 외식,17189.0,10,250,3,3,3,4
1065,고로케쿡,제과제빵,5380.0,13,596,3,3,3,5
1066,명동칼국수,기타 외식,11377.0,12,102,3,3,1,3
1067,투존치킨,치킨,5764.0,8,2,5,3,5,2
1068,삼백집,한식,18845.0,14,2,4,3,1,2
1069,경성육개장&부대찌개,기타 외식,2465.0,3,423,2,3,0,5
1070,찐분식,분식,3563.0,6,979,1,3,1,5
1071,후라이드바삭킹,치킨,3080.0,5,57,4,3,4,3
1072,첨단돌솥감자탕,한식,13315.0,7,233,4,3,4,4
1073,블레드,치킨,3290.0,7,-150,1,3,1,1
1074,본설렁탕,한식,9240.0,19,396,3,3,3,5
1075,원조전통명가,한식,10950.0,10,163,3,3,4,4
1076,치킨이즈백,치킨,4405.0,3,492,4,3,0,5
1077,꼬꼬씨참숯불닭갈비,기타 외식,7615.0,8,63,3,3,1,3
1078,빈체로,서양식,9140.0,10,75,4,3,3,3
1079,미다래,한식,6490.0,10,39,2,3,2,2
1080,왕돈까스&왕냉면,기타 외식,1235.0,8,9,5,3,2,2
1081,해두리치킨,치킨,3700.0,12,93,3,3,3,3
1082,버들골이야기,주점,15591.0,16,-4129,2,3,1,1
1083,곱창플렉스,한식,99.0,3,-353,1,3,0,1
1084,눈물떡볶이,분식,4753.0,7,210,3,3,2,4
1085,계경순대국,한식,5665.0,10,210,3,3,5,4
1086,뚱삼이와,한식,8860.0,11,134,3,3,2,3
1087,임창정의,주점,21381.0,9,-1205,2,3,1,1
1088,신기소,일식,13100.0,34,93,2,3,2,3
1089,조가네갑오징어,한식,11200.0,9,112,3,3,4,3
1090,유천냉면,기타 외식,14478.0,13,67,2,3,4,3
1091,곰작골나주곰탕,한식,9680.0,6,111,3,3,1,3
1092,육전국밥,한식,13475.0,13,251,2,3,3,4
1093,삼겹싸롱,한식,9182.0,11,24,4,3,2,2
1094,탄탄면공방,분식,11020.0,8,69,1,3,1,3
1095,경양카츠,일식,11245.0,4,277,5,3,5,4
1096,감성낙곱새,한식,2830.0,5,471,5,3,4,5
1097,쥬시빈(Juicy,기타 외식,6910.0,10,971,1,3,2,5
1098,착한막창,한식,5775.0,4,240,5,3,4,4
1099,화통치킨,치킨,4985.0,9,42,4,3,0,2
1100,원유로스페셜티커피,커피,8165.0,3,165,5,3,0,4
1101,멘야산다이메,일식,13195.0,7,-830,1,3,1,1
1102,마라공방,중식,9366.0,4,149,4,3,0,4
1103,외계인방앗간,제과제빵,14600.0,8,2654,1,3,1,5
1104,주구장창석쇠불판,한식,7195.0,11,46,5,3,2,2
1105,꽈배기친구들,제과제빵,3763.0,5,985,5,3,5,5
1106,탄탄면공방,분식,11020.0,8,69,1,3,1,3
1107,오투닭갈비,한식,8085.0,3,72,4,3,0,3
1108,카페,서양식,25240.0,13,285,2,3,1,4
1109,샐러데이즈(Salad,기타 외식,5829.0,4,-338,1,3,5,1
1110,삼겹싸롱,한식,9182.0,11,24,4,3,2,2
1111,피자빅,피자,4555.0,11,84,3,3,3,3
1112,덮밥90도씨,한식,3763.0,5,47,1,3,4,2
1113,박봉자,분식,3393.0,7,221,1,3,1,4
1114,쥬시빈(Juicy,기타 외식,6910.0,10,971,1,3,2,5
1115,놀부오불장군,한식,3355.0,33,647,1,3,2,5
1116,갈비배달도시락,한식,6650.0,4,148,4,3,0,4
1117,와촌식육식당,한식,11107.0,7,1473,2,3,2,5
1118,동서네낙지,한식,6658.0,5,34,5,3,5,2
1119,엉클부대찌개,기타 외식,7305.0,7,233,2,3,3,4
1120,유천냉면,기타 외식,14478.0,13,67,2,3,4,3
1121,모캄보,커피,15040.0,7,242,4,3,2,4
1122,제주애한판,한식,9000.0,12,241,3,3,3,4
1123,화통치킨,치킨,4985.0,9,42,4,3,0,2
1124,테그42(TEgg.42),기타 외식,8263.0,3,294,5,3,0,4
1125,오롯이닭요리,기타 외식,7895.0,9,111,2,3,3,3
1126,로얄자카르타,주점,9055.0,6,53,1,3,1,3
1127,준의,주점,7780.0,9,385,2,3,4,5
1128,아메리칸에그샌드,기타 외식,8759.0,6,125,4,3,4,3
1129,예다손,기타 외식,9855.0,16,53,3,3,4,3
1130,피맥하우스,피자,8560.0,4,9,4,3,5,2
1131,흑돼지,한식,10120.0,8,5,5,3,3,2
1132,장모족발시크릿레시피,한식,11650.0,11,52,4,3,5,3
1133,밀숲,기타 외식,10801.0,10,184,3,3,3,4
1134,풍년제과,제과제빵,11500.0,18,195,3,3,2,4
1135,옥토키친,한식,1035.0,5,-1470,4,3,3,1
1136,브라더오뎅,주점,4920.0,8,98,5,3,3,3
1137,맛젤치킨,치킨,3170.0,14,570,2,3,2,5
1138,손문대구막창갈매기살,한식,11407.0,12,5,4,3,2,2
1139,브리오슈도레(BRIOCHE,제과제빵,22945.0,12,294,3,3,4,4
1140,별법동태탕왕해물찜,한식,5335.0,11,107,3,3,2,3
1141,소풍경,분식,5820.0,5,1009,3,3,5,5
1142,바세츠,아이스크림/빙수,9760.0,7,564,3,3,3,5
1143,발빠닭,한식,4325.0,8,102,4,3,4,3
1144,여우愛,분식,6240.0,21,71,3,3,4,3
1145,크리스마스자몽,음료 (커피 외),6435.0,12,-423,1,3,2,1
1146,하코야,일식,8472.0,16,57,2,3,4,3
1147,포트리스,기타 외국식,7680.0,5,244,4,3,4,4
1148,애플김밥,분식,6325.0,12,291,4,3,3,4
1149,마포곱창,주점,4700.0,9,155,4,3,4,4
1150,마당쇠껍데기와소금구이,한식,5722.0,15,17,2,3,2,2
1151,스노우마운틴,아이스크림/빙수,13900.0,13,175,1,3,2,4
1152,브라더오뎅,주점,4920.0,8,98,5,3,3,3
1153,서가원김밥,한식,6050.0,17,1292,2,3,3,5
1154,흑돼지,한식,10120.0,8,5,5,3,3,2
1155,포트리스,기타 외국식,7680.0,5,244,4,3,4,4
1156,장모족발시크릿레시피,한식,11650.0,11,52,4,3,5,3
1157,별법동태탕왕해물찜,한식,5335.0,11,107,3,3,2,3
1158,金太郞,일식,13260.0,7,205,3,3,2,4
1159,젠틀래빗,주점,18090.0,14,129,4,3,4,3
1160,용가마순대,한식,4980.0,17,231,2,3,5,4
1161,여우愛,분식,6240.0,21,71,3,3,4,3
1162,파-닭에파무쳐,치킨,2090.0,14,486,3,3,3,5
1163,뚱보집부산양대창,기타 외식,6952.0,5,65,2,3,4,3
1164,희귀한족발,한식,2750.0,4,-1521,4,3,4,1
1165,맛젤치킨,치킨,3170.0,14,570,2,3,2,5
1166,바세츠,아이스크림/빙수,9760.0,7,564,3,3,3,5
1167,브리오슈도레(BRIOCHE,제과제빵,22945.0,12,294,3,3,4,4
1168,꿀마니,치킨,5325.0,13,52,3,3,2,3
1169,제이브이엘(JVL)부대찌개,한식,10537.0,8,-203,1,3,2,1
1170,발빠닭,한식,4325.0,8,102,4,3,4,3
1171,안성깍뚜기,한식,8160.0,4,95,5,3,5,3
1172,크리스마스자몽,음료 (커피 외),6435.0,12,-423,1,3,2,1
1173,별난아재맥주,주점,6070.0,6,515,2,3,3,5
1174,꼬꼬STORY(꼬꼬스토리),기타 외식,4290.0,11,74,5,3,3,3
1175,25카츠,일식,8230.0,11,-2841,2,3,5,1
1176,커피홀(coffee,커피,7309.0,38,25,4,3,3,2
1177,손문대구막창갈매기살,한식,11407.0,12,5,4,3,2,2
1178,피자명,피자,6195.0,7,0,2,3,1,1
1179,참존숯불바베큐,치킨,6790.0,22,103,5,3,2,3
1180,가마꿉,치킨,4960.0,4,155,4,3,4,4
1181,해피오네치킨,치킨,2320.0,10,-344,1,3,1,1
1182,수준이다른몬스터떡볶이,분식,3050.0,4,175,2,3,0,4
1183,갈매기먹짱,기타 외식,7690.0,9,-237,1,3,1,1
1184,하나야끼,일식,2970.0,7,299,3,3,0,4
1185,다크호스,기타 외국식,3025.0,16,198,2,3,2,4
1186,오공복이,기타 외식,7562.0,6,962,1,3,2,5
1187,빠레뜨한남,서양식,10595.0,4,351,5,3,5,5
1188,뼈큰감자탕,한식,16450.0,9,465,3,3,4,5
1189,백년,기타 외식,7780.0,8,338,3,3,3,4
1190,개구리반찬,기타 외식,4930.0,9,755,1,3,2,5
1191,더마니,한식,200.0,3,126,5,3,0,3
1192,두리맛감자탕,한식,10970.0,11,52,2,3,3,3
1193,김둘레순대국,한식,7945.0,9,25,4,3,3,2
1194,비어카이저,주점,20201.0,15,-255,1,3,4,1
1195,홍콩다방,음료 (커피 외),8380.0,3,30,2,3,0,2
1196,소담애,한식,10310.0,10,47,2,3,1,2
1197,찜닭에반하다,한식,2970.0,7,1,5,3,5,1
1198,킹피자,피자,9680.0,11,-335,3,3,2,1
1199,피자브라더스,피자,4240.0,7,321,2,3,4,4
1200,베브릿지,기타 외식,11204.0,8,477,3,3,2,5
1201,남자피자,피자,7280.0,8,1455,3,3,3,5
1202,누룩꽃,한식,13520.0,10,229,3,3,2,4
1203,OB베어,주점,4420.0,9,89,4,3,1,3
1204,최군맥주,주점,6765.0,10,194,2,3,1,4
1205,아이리시포테이토,패스트푸드,7466.0,14,-1207,1,3,1,1
1206,진주품은활어,기타 외식,12253.0,10,105,3,3,2,3
1207,카스톡스,주점,8285.0,21,109,2,3,1,3
1208,꿀닭,치킨,5075.0,10,247,3,3,2,4
1209,성경만두요리전문점,한식,13925.0,9,1088,2,3,2,5
1210,서희원꼬지닷컴,치킨,6000.0,14,11,3,3,2,2
1211,마리짱,분식,6885.0,9,-455,1,3,1,1
1212,단골손님,한식,8780.0,4,78,5,3,4,3
1213,로라방앗간,분식,4802.0,7,-652,1,3,5,1
1214,오공복이,기타 외식,7562.0,6,962,1,3,2,5
1215,찜닭에반하다,한식,2970.0,7,1,5,3,5,1
1216,백년,기타 외식,7780.0,8,338,3,3,3,4
1217,공씨네주먹밥,분식,5738.0,14,599,1,3,1,5
1218,피자브라더스,피자,4240.0,7,321,2,3,4,4
1219,뼈큰감자탕,한식,16450.0,9,465,3,3,4,5
1220,플젠PLZEN,주점,9528.0,17,61,1,3,1,3
1221,장패(JANGPAE),한식,12126.0,11,72,4,3,1,3
1222,화로닭발,한식,5250.0,18,221,3,3,3,4
1223,조코만삼겹떡볶이,분식,2876.0,7,151,5,3,4,4
1224,더기발한치킨(The기발한치킨),치킨,7430.0,9,139,3,3,3,3
1225,카페미뇽,제과제빵,2430.0,3,268,4,3,0,4
1226,수맥집,주점,4100.0,6,61,5,3,4,3
1227,김둘레순대국,한식,7945.0,9,25,4,3,3,2
1228,콜드스톤크리머리,아이스크림/빙수,19840.0,23,669,2,3,3,5
1229,개구리반찬,기타 외식,4930.0,9,755,1,3,2,5
1230,샵도쿄시장,주점,8460.0,3,241,4,3,0,4
1231,내조국국밥,한식,11300.0,3,433,4,3,0,5
1232,국가대패,한식,10442.0,12,28,3,3,2,2
1233,맛있는,기타 외식,7560.0,7,-113,1,3,1,1
1234,CAFE,커피,5105.0,3,170,2,3,0,4
1235,하나야끼,일식,2970.0,7,299,3,3,0,4
1236,갓튀긴후라이드,치킨,3455.0,3,121,5,3,0,3
1237,도쿄이찌바,일식,20920.0,12,49,3,3,2,2
1238,피자몰,피자,52860.0,4,217,1,3,3,4
1239,라밥,분식,8310.0,8,27,4,3,3,2
1240,두리맛감자탕,한식,10970.0,11,52,2,3,3,3
1241,리미니,서양식,10180.0,4,217,1,3,3,4
1242,고향옥얼큰순대국,한식,11000.0,7,41,5,3,3,2
1243,비빔밥,한식,3011.0,5,355,3,3,4,5
1244,라공방,중식,15020.0,4,125,4,3,2,3
1245,또또닭강정,치킨,1720.0,5,92,4,3,3,3
1246,오렌지티,음료 (커피 외),7680.0,9,199,2,3,0,4
1247,갈매기먹짱,기타 외식,7690.0,9,-237,1,3,1,1
1248,킹피자,피자,9680.0,11,-335,3,3,2,1
1249,해피오네치킨,치킨,2320.0,10,-344,1,3,1,1
1250,비어카이저,주점,20201.0,15,-255,1,3,4,1
1251,히코코,커피,6239.0,24,-243,1,3,2,1
1252,류길상피자,서양식,1630.0,3,131,4,3,0,3
1253,개정,한식,28300.0,28,67,3,3,2,3
1254,할매보쌈애부대찌개,한식,7713.0,14,5,2,3,1,2
1255,더,기타 외식,17000.0,6,351,3,3,3,5
1256,컨트리맨즈,서양식,36864.0,8,692,2,3,1,5
1257,남오토코,주점,11880.0,12,70,4,3,1,3
1258,대독장,한식,9595.0,8,282,3,3,2,4
1259,고기주는,한식,6990.0,4,148,4,3,0,4
1260,샌드프레소,기타 외식,15850.0,26,109,3,3,4,3
1261,정성한줄,분식,6668.0,8,183,4,3,3,4
1262,참,분식,6545.0,7,91,5,3,5,3
1263,북문로떡볶이,분식,5268.0,7,138,2,3,1,3
1264,덤덤덤쪽갈비,한식,7245.0,6,12,5,3,1,2
1265,포차스미스,주점,9350.0,5,-283,2,3,1,1
1266,원조희야네석쇠쭈꾸미&빈대떡,한식,8472.0,10,344,3,3,3,5
1267,닭꼬치브라더스,기타 외식,1672.0,4,-1521,4,3,4,1
1268,토스트럭(TOAST,기타 외식,6007.0,3,771,4,3,1,5
1269,오징어청춘,기타 외식,10780.0,10,-450,1,3,1,1
1270,객잔차이나,주점,10902.0,11,-658,1,3,1,1
1271,소소린,한식,3640.0,5,87,3,3,4,3
1272,파머스,커피,10950.0,12,238,1,3,4,4
1273,대박통,한식,8541.0,11,2,5,3,2,2
1274,쥬스킹(JUICE,음료 (커피 외),5435.0,6,-117,1,3,3,1
1275,리얼하노이,기타 외식,3155.0,6,483,4,3,5,5
1276,치킨마스터,치킨,3790.0,9,138,5,3,2,4
1277,삼초전,한식,3135.0,23,39,2,3,2,2
1278,키무카츠,일식,15040.0,6,191,3,3,1,4
1279,엘레나가든,서양식,78900.0,11,2493,3,3,1,5
1280,전준수명품청기와감자탕,한식,11500.0,8,19,5,3,3,2
1281,디초콜릿커피,커피,23660.0,18,52,4,3,3,2
1282,독도참치,일식,12495.0,10,179,1,3,1,4
1283,왕돈까스&왕냉면,분식,1235.0,4,475,4,3,4,5
1284,청춘연가,주점,6579.0,16,134,3,3,2,3
1285,남다른대구막창,한식,7252.0,6,643,4,3,5,5
1286,징기스칸치킨,치킨,2475.0,33,-122,2,3,2,1
1287,동양족발,한식,4093.0,5,33,5,3,0,2
1288,대관령양푼이동태찌개,한식,8949.0,15,89,3,3,2,3
1289,씨드앤너츠,기타 외식,7270.0,9,363,2,3,1,5
1290,타이티카페(TAETEA,음료 (커피 외),20742.0,12,28,4,3,3,2
1291,장충동왕족발보쌈,기타 외식,4250.0,9,123,3,3,1,3
1292,송가네왕족발,한식,850.0,32,62,4,3,1,3
1293,푸릴리,기타 외식,7005.0,23,65,3,3,3,3
1294,길성이,한식,27712.0,18,175,2,3,2,4
1295,벌집한판무한리필,한식,9479.0,7,46,5,3,0,2
1296,프롬하츠(FROM,커피,15055.0,7,4505,2,3,4,5
1297,닌자초밥,일식,8780.0,8,241,5,3,1,4
1298,이쿠라멘,기타 외식,4060.0,4,360,1,3,3,5
1299,파더스김밥,분식,6481.0,10,107,4,3,3,3
1300,잇또라멘,분식,5195.0,5,119,1,3,1,3
1301,김덕후의,기타 외식,12105.0,8,175,3,3,1,4
1302,훔친갈비,한식,11245.0,11,231,3,3,4,4
1303,후쿠오카모츠나베,기타 외식,25350.0,8,-253,4,3,1,1
1304,찰스숯불김밥,분식,5600.0,8,-592,2,3,2,1
1305,청진동해장국,한식,3520.0,5,95,4,3,2,3
1306,라스타,분식,8460.0,7,310,3,3,2,5
1307,루스트플레이스,서양식,52280.0,6,-4456,2,3,4,1
1308,사랑담은묵은지찜찌개,한식,3740.0,9,249,3,3,3,4
1309,만복한쭈꾸미낙지볶음,한식,16010.0,10,998,5,3,3,5
1310,밀탑(MEALTOP),아이스크림/빙수,31850.0,11,-209,1,3,2,1
1311,에바돈가츠,기타 외식,5902.0,8,299,1,3,3,4
1312,히노무라,주점,16750.0,11,191,3,3,5,4
1313,애슐리투고,서양식,9650.0,41,234,2,3,4,4
1314,파더스김밥,분식,6481.0,10,107,4,3,3,3
1315,함흥제일,한식,13942.0,9,28100,2,3,2,5
1316,신복관,기타 외식,9100.0,9,203,5,3,2,4
1317,인생설렁탕,한식,9529.0,29,78,4,3,4,3
1318,린생사진관,주점,8880.0,9,258,4,3,4,4
1319,마이카츠,기타 외식,7665.0,12,65,5,3,4,3
1320,요남자(YONAMJA),기타 외식,31740.0,12,44,2,3,1,2
1321,모노레일,커피,10620.0,14,199,3,3,2,4
1322,쏘쏘맥주집,기타 외식,2630.0,11,212,3,3,3,4
1323,호기심에훔친뒷고기,한식,8065.0,7,266,4,3,4,4
1324,아리아리닭강정,치킨,5250.0,14,203,2,3,2,4
1325,소문난공주떡볶이,분식,5700.0,10,44,4,3,4,2
1326,카페,커피,13445.0,10,4,5,3,3,2
1327,뚱뚱이할머니족발보쌈,한식,12378.0,10,77,3,3,2,3
1328,코다리밥상,한식,19610.0,12,23,4,3,2,2
1329,한통(한마리,한식,12583.0,20,2001,4,3,2,5
1330,코누코치킨,치킨,3586.0,5,72,4,3,0,3
1331,조부자매운순대가,한식,5855.0,15,172,5,3,4,4
1332,에이그레이트카페,커피,13430.0,10,87,2,3,5,3
1333,브라더한정식도시락,한식,7395.0,6,33,5,3,5,2
1334,내고향냉면만두,분식,3960.0,10,102,4,3,3,3
1335,다빈치커피,커피,17770.0,21,96,2,3,1,3
1336,슈퍼스테이크,기타 외식,12680.0,8,-148,1,3,4,1
1337,족발신선생,한식,1080.0,5,321,5,3,5,4
1338,쿠니치,패스트푸드,7567.0,15,145,2,3,1,4
1339,국민파스타,서양식,2310.0,3,49,2,3,0,2
1340,록키,음료 (커피 외),15400.0,41,38,4,3,2,2
1341,도쿄빙수,아이스크림/빙수,8670.0,6,428,1,3,1,5
1342,우된장,한식,3520.0,4,295,4,3,5,4
1343,엔츠노래타운,주점,24090.0,5,4,5,3,2,2
1344,록키마운틴,제과제빵,21300.0,10,724,2,3,5,5
1345,홈팝참치,일식,6050.0,4,289,4,3,4,4
1346,사나운치킨,치킨,4810.0,6,1,1,3,0,2
1347,핑거커피,커피,4405.0,7,534,3,3,4,5
1348,삼국시대,한식,9907.0,6,409,3,3,5,5
1349,식감이야기,주점,9760.0,9,86,5,3,3,3
1350,엉클비어,주점,6820.0,11,255,3,3,3,4
1351,우림관화로구이,기타 외식,8585.0,5,112,2,3,3,3
1352,낭만치맥,치킨,4447.0,8,883,2,3,3,5
1353,천상대게,한식,8215.0,9,6,5,3,4,2
1354,지훈남닭발,기타 외식,6010.0,8,301,2,3,1,4
1355,육시리,한식,13700.0,9,1,5,3,2,2
1356,얼맥당,주점,10035.0,4,533,2,3,5,5
1357,김진철동래통닭,치킨,8438.0,9,-2898,2,3,3,1
1358,류길상피자,피자,6825.0,11,1,5,3,3,1
1359,사나운치킨,치킨,4810.0,6,1,1,3,0,2
1360,전주팔미콩나물국밥,한식,9650.0,6,73,4,3,3,3
1361,감통반,주점,9330.0,9,-452,5,3,4,1
1362,블랙스톤,서양식,19546.0,8,56,3,3,3,3
1363,카페뚤레,커피,7505.0,5,-523,1,3,0,1
1364,식감이야기,주점,9760.0,9,86,5,3,3,3
1365,담미온,한식,13080.0,6,38,5,3,4,2
1366,카페바움(KAFFEE,커피,8420.0,6,-237,1,3,3,1
1367,육전면사무소,기타 외식,5648.0,8,5,4,3,3,2
1368,맛잡이,주점,6260.0,8,20,5,3,2,2
1369,삼국시대,한식,9907.0,6,409,3,3,5,5
1370,치킨을사랑한떡볶이,한식,2180.0,4,301,1,3,0,4
1371,석쇠꾼,한식,11740.0,11,21,2,3,5,2
1372,엘리펀트피자(ELEPHANT,피자,4180.0,6,5,5,3,4,2
